0:100236,1,0,3.350157,4.750789,3.918865,7.091375,-1.514776,8.462167,-2.083514,6.121570,1,1,0,;
1:100236,1,0,3.435435,4.738445,4.018600,7.077047,-1.405825,8.463848,-1.989021,6.125243,1,1,0,;
2:100236,1,0,3.577642,4.715508,4.174366,7.055380,-1.245776,8.469546,-1.842499,6.129666,1,1,0,;
3:100236,1,0,3.657392,4.703069,4.274720,7.040716,-1.135496,8.468011,-1.752823,6.130364,1,1,0,;
4:100236,1,0,3.776320,4.678586,4.406582,7.018390,-0.986369,8.476349,-1.616661,6.136534,1,1,0,;
5:100236,1,0,3.896080,4.669241,4.538280,7.002942,-0.845997,8.471517,-1.488167,6.137818,1,1,0,;
6:100236,1,0,3.990781,4.662596,4.648116,6.993853,-0.731469,8.465165,-1.388803,6.133908,1,1,0,;
7:100236,1,0,4.071840,4.652646,4.728847,6.985417,-0.642122,8.460852,-1.299129,6.128072,1,1,0,;
8:100236,1,0,4.173960,4.642303,4.827170,6.975836,-0.539023,8.455932,-1.192233,6.122399,1,1,0,;
9:100236,1,0,4.264228,4.628483,4.928719,6.952113,-0.428360,8.438522,-1.092851,6.114899,1,1,0,;
10:100236,1,0,4.340329,4.624620,5.006976,6.947633,-0.348712,8.439008,-1.015359,6.116003,1,1,0,;
11:100236,1,0,4.409625,4.621861,5.083326,6.939090,-0.266271,8.426845,-0.939972,6.109615,1,1,0,;
12:100236,1,0,4.506968,4.618490,5.178821,6.933393,-0.147806,8.416249,-0.819659,6.101347,1,1,0,;
13:100236,1,0,4.587890,4.612990,5.259690,6.928551,-0.049448,8.406380,-0.721248,6.090819,1,1,0,;
14:100236,1,0,4.672554,4.607974,5.341982,6.923536,0.040892,8.396784,-0.628536,6.081222,1,1,0,;
15:100236,1,0,4.756825,4.601595,5.425902,6.912870,0.127303,8.389142,-0.541774,6.077867,1,1,0,;
16:100236,1,0,4.834231,4.593400,5.504206,6.901289,0.213701,8.381124,-0.456274,6.073227,1,1,0,;
17:100236,1,0,4.909093,4.591233,5.580065,6.893714,0.304912,8.367728,-0.366060,6.065246,1,1,0,;
18:100236,1,0,5.004277,4.586794,5.669422,6.884833,0.416286,8.356029,-0.248859,6.057990,1,1,0,;
19:100236,1,0,5.062534,4.581070,5.720406,6.875617,0.487407,8.350602,-0.170465,6.056055,1,1,0,;
20:100236,1,0,5.147379,4.571659,5.798465,6.863329,0.589721,8.335532,-0.061335,6.043871,1,1,0,;
21:100236,1,0,5.212483,4.565620,5.866298,6.856514,0.659309,8.334920,0.005525,6.044035,1,1,0,;
22:100236,1,0,5.311800,4.545690,5.949688,6.832323,0.772583,8.321876,0.134695,6.035251,1,1,0,;
23:100236,1,0,5.373814,4.534702,6.004236,6.822695,0.863952,8.303475,0.233561,6.015484,1,1,0,;
24:100236,1,0,5.457020,4.519770,6.093768,6.806010,0.957598,8.301003,0.320881,6.014764,1,1,0,;
25:100236,1,0,5.543397,4.500386,6.177577,6.769865,1.076220,8.279870,0.442039,6.010391,1,1,0,;
26:100236,1,0,5.617110,4.485451,6.257057,6.745035,1.171077,8.266823,0.531130,6.007238,1,1,0,;
27:100236,1,0,5.683007,4.468829,6.329605,6.726521,1.248130,8.263266,0.601532,6.005574,1,1,0,;
28:100236,1,0,5.764585,4.440403,6.413904,6.702657,1.348077,8.244698,0.698759,5.982444,1,1,0,;
29:100236,1,0,5.863795,4.415059,6.522946,6.674467,1.463874,8.238527,0.804724,5.979119,1,1,0,;
30:100236,1,0,5.958127,4.384097,6.610220,6.639810,1.573013,8.227468,0.920890,5.971747,1,1,0,;
31:100236,1,0,6.020979,4.362957,6.675612,6.613697,1.649178,8.218549,0.994515,5.967808,1,1,0,;
32:100236,1,0,6.069988,4.348451,6.730006,6.597616,1.707427,8.214508,1.047379,5.965343,1,1,0,;
33:100236,1,0,6.152984,4.313372,6.823135,6.560342,1.825826,8.201067,1.155675,5.954097,1,1,0,;
34:100236,1,0,6.243086,4.286874,6.922826,6.530962,1.932567,8.193009,1.252828,5.948922,1,1,0,;
35:100236,1,0,6.309448,4.258523,7.000284,6.506346,2.020085,8.186868,1.329279,5.939045,1,1,0,;
36:100236,1,0,6.390981,4.223917,7.086581,6.477793,2.107154,8.186218,1.411553,5.932343,1,1,0,;
37:100236,1,0,6.447980,4.205232,7.150134,6.457076,2.175695,8.179975,1.473541,5.928130,1,1,0,;
38:100236,1,0,6.512249,4.184944,7.212705,6.435135,2.282201,8.145385,1.581746,5.895202,1,1,0,;
39:100236,1,0,6.577740,4.162841,7.285801,6.410653,2.361104,8.137553,1.653043,5.889750,1,1,0,;
40:100236,1,0,6.644433,4.146449,7.356714,6.388653,2.445899,8.118393,1.733617,5.876189,1,1,0,;
41:100236,1,0,6.700376,4.130734,7.418275,6.366349,2.554999,8.083820,1.837099,5.848205,1,1,0,;
42:100236,1,0,6.755914,4.110757,7.479087,6.352512,2.663273,8.041808,1.940100,5.800061,1,1,0,;
43:100236,1,0,6.807093,4.095110,7.540309,6.330510,2.693313,8.044024,1.960097,5.808617,1,1,0,;
44:100236,1,0,6.878230,4.068256,7.618507,6.299789,2.838273,8.016701,2.097995,5.785160,1,1,0,;
45:100236,1,0,6.945612,4.039177,7.692966,6.271677,2.972486,7.991952,2.225103,5.759461,1,1,0,;
46:100236,1,0,6.984601,4.023015,7.732781,6.255790,3.058537,7.977107,2.310357,5.744332,1,1,0,;
47:100236,1,0,7.051149,3.998074,7.808860,6.227852,3.147629,7.966733,2.389918,5.736947,1,1,0,;
48:100236,1,0,7.093096,3.982965,7.858826,6.208838,3.191978,7.970032,2.426248,5.744159,1,1,0,;
49:100236,1,0,7.154898,3.957978,7.932015,6.182745,3.267555,7.968260,2.490438,5.743485,1,1,0,;
50:100236,1,0,7.203674,3.939855,7.996357,6.157620,3.334265,7.960385,2.541582,5.742621,1,1,0,;
51:100236,1,0,7.261210,3.921360,8.061058,6.134236,3.400622,7.950534,2.600744,5.737667,1,1,0,;
52:100236,1,0,7.312712,3.901847,8.126823,6.109683,3.461415,7.942139,2.647303,5.734303,1,1,0,;
53:100236,1,0,7.358419,3.883938,8.180593,6.089815,3.510936,7.937334,2.688761,5.731456,1,1,0,;
54:100236,1,0,7.433844,3.852347,8.261824,6.058964,3.591371,7.926541,2.763422,5.719923,1,1,0,;
55:100236,1,0,7.504018,3.825268,8.336169,6.030587,3.661428,7.914114,2.829277,5.708795,1,1,0,;
56:100236,1,0,7.571527,3.794921,8.406384,5.995884,3.731262,7.896007,2.896405,5.695045,1,1,0,;
57:100236,1,0,7.634171,3.770712,8.464249,5.965557,3.800848,7.873811,2.970800,5.678965,1,1,0,;
58:100236,1,0,7.718475,3.730397,8.548835,5.911759,3.902753,7.845191,3.072424,5.663826,1,1,0,;
59:100236,1,0,7.772329,3.701235,8.607283,5.877398,3.970254,7.818749,3.135299,5.642579,1,1,0,;
60:100236,1,0,7.838918,3.658930,8.683335,5.835197,4.058948,7.794915,3.214531,5.618655,1,1,0,;
61:100236,1,0,7.919956,3.606381,8.775354,5.786857,4.179277,7.769198,3.323879,5.588723,1,1,0,;
62:100236,1,0,7.978179,3.570657,8.836634,5.756779,4.274867,7.743029,3.416411,5.556908,1,1,0,;
